,Point,EndPointFrequency,StartPointFrequency,Latitude,Longitude,PointCounts,TotPct,StartPct,EndPct
110,"(55.72614, -3.96033)",50,42,55.72614,-3.96033,92,0.04151980539847731,0.032820705176294075,0.05341138517086302
111,"(53.58155, -1.52633)",50,35,53.58155,-1.52633,85,0.038360689770332294,0.027350587646911728,0.05341138517086302
112,"(56.16159, 14.85308)",49,66,56.16159,14.85308,115,0.05189975674809663,0.05157539384846212,0.052343157467445764
113,"(51.47031, 0.27262)",49,18,51.47031,0.27262,67,0.030237249583673693,0.01406601650412603,0.052343157467445764
114,"(53.66277, -0.24376)",49,459,53.66277,-0.24376,508,0.22926153415680944,0.35868342085521376,0.052343157467445764
115,"(53.52778, -1.32143)",49,18,53.52778,-1.32143,67,0.030237249583673693,0.01406601650412603,0.052343157467445764
116,"(53.50174, -6.42758)",49,19,53.50174,-6.42758,68,0.030688551816265834,0.014847461865466366,0.052343157467445764
117,"(51.46306, 0.24641)",48,12,51.46306,0.24641,60,0.027078133955528678,0.009377344336084021,0.0512749297640285
118,"(53.3703, -1.36706)",48,40,53.3703,-1.36706,88,0.03971459646810873,0.031257814453613406,0.0512749297640285
119,"(52.36434, -1.46838)",48,4,52.36434,-1.46838,52,0.02346771609479152,0.0031257814453613405,0.0512749297640285
120,"(51.36976, 0.74399)",48,20,51.36976,0.74399,68,0.030688551816265834,0.015628907226806703,0.0512749297640285
121,"(53.71352, -1.51988)",48,39,53.71352,-1.51988,87,0.03926329423551658,0.03047636909227307,0.0512749297640285
122,"(56.28538, 14.51683)",47,20,56.28538,14.51683,67,0.030237249583673693,0.015628907226806703,0.050206702060611244
123,"(51.08537, 3.78656)",47,5,51.08537,3.78656,52,0.02346771609479152,0.003907226806701676,0.050206702060611244
124,"(60.4534, 22.21482)",47,41,60.4534,22.21482,88,0.03971459646810873,0.032039259814953744,0.050206702060611244
125,"(53.3505, -6.21005)",47,99,53.3505,-6.21005,146,0.06589012595845312,0.07736309077269317,0.050206702060611244
126,"(55.89794, -3.57601)",47,19,55.89794,-3.57601,66,0.029785947351081546,0.014847461865466366,0.050206702060611244
127,"(55.65214, 12.17369)",47,6,55.65214,12.17369,53,0.023919018327383666,0.0046886721680420105,0.050206702060611244
128,"(51.67939, -0.00878)",47,13,51.67939,-0.00878,60,0.027078133955528678,0.010158789697424356,0.050206702060611244
129,"(51.50004, -3.11476)",46,7,51.50004,-3.11476,53,0.023919018327383666,0.005470117529382345,0.04913847435719398
130,"(51.45635, 0.25774)",46,22,51.45635,0.25774,68,0.030688551816265834,0.017191797949487372,0.04913847435719398
131,"(53.56089, -2.10537)",46,18,53.56089,-2.10537,64,0.028883342885897258,0.01406601650412603,0.04913847435719398
132,"(53.29402, -3.0414)",46,5,53.29402,-3.0414,51,0.023016413862199374,0.003907226806701676,0.04913847435719398
133,"(52.55235, -0.26279)",46,42,52.55235,-0.26279,88,0.03971459646810873,0.032820705176294075,0.04913847435719398
134,"(55.82969, -4.04242)",45,20,55.82969,-4.04242,65,0.029334645118489402,0.015628907226806703,0.04807024665377672
135,"(55.93056, -3.98666)",45,6,55.93056,-3.98666,51,0.023016413862199374,0.0046886721680420105,0.04807024665377672
136,"(52.46008, -1.24938)",45,47,52.46008,-1.24938,92,0.04151980539847731,0.036727931982995746,0.04807024665377672
137,"(51.0202, 2.19471)",45,28,51.0202,2.19471,73,0.03294506297922656,0.02188047011752938,0.04807024665377672
138,"(56.12345, 12.92025)",45,16,56.12345,12.92025,61,0.027529436188120825,0.012503125781445362,0.04807024665377672
139,"(53.46352, -2.90003)",44,84,53.46352,-2.90003,128,0.057766685771794515,0.06564141035258815,0.04700201895035946
140,"(57.4339, 12.15859)",44,5,57.4339,12.15859,49,0.022113809397015086,0.003907226806701676,0.04700201895035946
141,"(51.36219, 0.75127)",44,36,51.36219,0.75127,80,0.03610417860737157,0.02813203300825206,0.04700201895035946
142,"(56.04598, 14.6691)",44,44,56.04598,14.6691,88,0.03971459646810873,0.034383595898974745,0.04700201895035946
143,"(59.18213, 10.96275)",44,14,59.18213,10.96275,58,0.026175529490344393,0.01094023505876469,0.04700201895035946
144,"(53.57979, -2.22975)",44,28,53.57979,-2.22975,72,0.03249376074663441,0.02188047011752938,0.04700201895035946
